timestamp,scan_id,symbol,side,entry,sl,target,rr,score,status,alerted
2026-05-04 14:26:26,20260504_195550,HAVELLS.NS,LONG,1260.0,1255.0,1270.0,2.0,3.1,OPEN,NO
2026-05-04 14:26:26,20260504_195550,DABUR.NS,SHORT,448.05,448.2,447.75,2.0,3.08,OPEN,NO
2026-05-04 14:26:26,20260504_195550,BAJFINANCE.NS,LONG,957.6,956.6,959.6,2.0,3.04,OPEN,NO
2026-05-04 14:26:26,20260504_195550,HAL.NS,LONG,4576.5,4564.8,4599.9,2.0,3.04,OPEN,NO
2026-05-04 14:26:26,20260504_195550,RECLTD.NS,SHORT,357.5,357.8,356.9,2.0,3.04,OPEN,NO
2026-05-04 14:26:26,20260504_195550,JINDALSTEL.NS,LONG,1264.4,1261.0,1271.2,2.0,3.0,OPEN,NO
2026-05-04 14:26:26,20260504_195550,SHRIRAMFIN.NS,LONG,958.35,956.0,963.05,2.0,2.98,OPEN,NO
2026-05-04 14:26:26,20260504_195550,ULTRACEMCO.NS,SHORT,11677.0,11705.0,11621.0,2.0,2.95,OPEN,NO
2026-05-04 14:26:26,20260504_195550,CHOLAFIN.NS,LONG,1637.1,1633.8,1643.7,2.0,2.94,OPEN,NO
2026-05-04 14:26:26,20260504_195550,JSWSTEEL.NS,LONG,1269.6,1268.4,1272.0,2.0,2.93,OPEN,NO
2026-05-04 14:26:26,20260504_195550,GODREJCP.NS,SHORT,1079.1,1080.4,1076.5,2.0,2.89,OPEN,NO
2026-05-04 14:26:26,20260504_195550,ACC.NS,SHORT,1419.6,1424.7,1409.4,2.0,2.88,OPEN,NO
2026-05-04 14:26:26,20260504_195550,INFY.NS,SHORT,1168.4,1174.8,1155.6,2.0,2.82,OPEN,NO
2026-05-04 14:26:26,20260504_195550,BRITANNIA.NS,LONG,5750.0,5735.0,5780.0,2.0,2.8,OPEN,NO
2026-05-04 14:26:26,20260504_195550,TATASTEEL.NS,SHORT,212.24,212.62,211.48,2.0,2.78,OPEN,NO
2026-05-04 14:26:26,20260504_195550,HDFCLIFE.NS,SHORT,589.0,589.7,587.6,2.0,2.77,OPEN,NO
2026-05-04 14:26:26,20260504_195550,TCS.NS,SHORT,2431.3,2436.7,2420.5,2.0,2.71,OPEN,NO
2026-05-04 14:26:26,20260504_195550,M&M.NS,SHORT,3105.7,3111.5,3094.1,2.0,2.67,OPEN,NO
2026-05-04 14:26:26,20260504_195550,ABB.NS,LONG,7279.5,7264.5,7309.5,2.0,2.67,OPEN,NO
2026-05-04 14:26:26,20260504_195550,TECHM.NS,LONG,1461.2,1459.2,1465.2,2.0,2.63,OPEN,NO
2026-05-04 14:26:26,20260504_195550,HDFCAMC.NS,SHORT,2734.8,2739.2,2726.0,2.0,2.62,OPEN,NO
2026-05-04 14:26:26,20260504_195550,TITAN.NS,SHORT,4368.5,4375.2,4355.1,2.0,2.61,OPEN,NO
2026-05-04 14:26:26,20260504_195550,BANKBARODA.NS,LONG,267.65,267.15,268.65,2.0,2.57,OPEN,NO
2026-05-04 14:26:26,20260504_195550,INDIGO.NS,SHORT,4287.7,4292.2,4278.7,2.0,2.55,OPEN,NO
2026-05-04 14:26:26,20260504_195550,SIEMENS.NS,LONG,3886.4,3874.3,3910.6,2.0,2.53,OPEN,NO
2026-05-04 14:26:26,20260504_195550,PIIND.NS,SHORT,3059.4,3065.2,3047.8,2.0,2.28,OPEN,NO
2026-05-04 14:26:26,20260504_195550,TRENT.NS,SHORT,4093.3,4101.4,4077.1,2.0,2.21,OPEN,NO
2026-05-04 14:26:26,20260504_195550,BHARTIARTL.NS,SHORT,1827.1,1843.3,1794.7,2.0,2.19,OPEN,NO
2026-05-04 14:26:26,20260504_195550,HEROMOTOCO.NS,SHORT,5076.0,5085.0,5058.0,2.0,2.07,OPEN,NO
2026-05-04 14:26:26,20260504_195550,BAJAJ-AUTO.NS,LONG,10144.5,10120.0,10193.5,2.0,2.02,OPEN,NO
2026-05-04 14:26:26,20260504_195550,BAJAJHLDNG.NS,LONG,10443.0,10412.0,10505.0,2.0,1.89,OPEN,NO
2026-05-04 14:36:48,20260504_200640,RELIANCE.NS,LONG,1447.8,1446.7,1450.0,2.0,3.29,OPEN,YES
2026-05-04 14:36:48,20260504_200640,ONGC.NS,SHORT,294.0,294.5,293.0,2.0,3.23,OPEN,YES
2026-05-04 14:36:48,20260504_200640,PFC.NS,SHORT,452.25,453.15,450.45,2.0,3.17,OPEN,YES
2026-05-04 14:36:48,20260504_200640,MARICO.NS,LONG,783.5,782.7,785.1,2.0,3.12,OPEN,NO
2026-05-04 14:36:48,20260504_200640,APOLLOHOSP.NS,LONG,7753.5,7749.5,7761.5,2.0,3.1,OPEN,NO
2026-05-04 14:36:48,20260504_200640,HAVELLS.NS,LONG,1260.0,1255.0,1270.0,2.0,3.1,OPEN,NO
2026-05-04 14:36:48,20260504_200640,DABUR.NS,SHORT,448.05,448.2,447.75,2.0,3.08,OPEN,NO
2026-05-04 14:36:48,20260504_200640,BAJFINANCE.NS,LONG,957.6,956.6,959.6,2.0,3.04,OPEN,NO
2026-05-04 14:36:48,20260504_200640,HAL.NS,LONG,4576.5,4564.8,4599.9,2.0,3.04,OPEN,NO
2026-05-04 14:36:48,20260504_200640,RECLTD.NS,SHORT,357.5,357.8,356.9,2.0,3.04,OPEN,NO
2026-05-04 14:36:48,20260504_200640,JINDALSTEL.NS,LONG,1264.4,1261.0,1271.2,2.0,3.0,OPEN,NO
2026-05-04 14:36:48,20260504_200640,SHRIRAMFIN.NS,LONG,958.35,956.0,963.05,2.0,2.98,OPEN,NO
2026-05-04 14:36:48,20260504_200640,ULTRACEMCO.NS,SHORT,11677.0,11705.0,11621.0,2.0,2.95,OPEN,NO
2026-05-04 14:36:48,20260504_200640,CHOLAFIN.NS,LONG,1637.1,1633.8,1643.7,2.0,2.94,OPEN,NO
2026-05-04 14:36:48,20260504_200640,JSWSTEEL.NS,LONG,1269.6,1268.4,1272.0,2.0,2.93,OPEN,NO
2026-05-04 14:36:48,20260504_200640,GODREJCP.NS,SHORT,1079.1,1080.4,1076.5,2.0,2.89,OPEN,NO
2026-05-04 14:36:48,20260504_200640,ACC.NS,SHORT,1419.6,1424.7,1409.4,2.0,2.88,OPEN,NO
2026-05-04 14:36:48,20260504_200640,INFY.NS,SHORT,1173.1,1174.8,1169.7,2.0,2.82,OPEN,NO
2026-05-04 14:36:48,20260504_200640,BRITANNIA.NS,LONG,5750.0,5735.0,5780.0,2.0,2.8,OPEN,NO
2026-05-04 14:36:48,20260504_200640,TATASTEEL.NS,SHORT,212.34,212.62,211.78,2.0,2.78,OPEN,NO
2026-05-04 14:36:48,20260504_200640,HDFCLIFE.NS,SHORT,589.0,589.7,587.6,2.0,2.77,OPEN,NO
2026-05-04 14:36:48,20260504_200640,AXISBANK.NS,SHORT,1269.4,1270.8,1266.6,2.0,2.73,OPEN,NO
2026-05-04 14:36:48,20260504_200640,TCS.NS,SHORT,2432.4,2436.7,2423.8,2.0,2.71,OPEN,NO
2026-05-04 14:36:48,20260504_200640,M&M.NS,SHORT,3105.7,3111.5,3094.1,2.0,2.67,OPEN,NO
2026-05-04 14:36:48,20260504_200640,ABB.NS,LONG,7279.5,7264.5,7309.5,2.0,2.67,OPEN,NO
2026-05-04 14:36:48,20260504_200640,TECHM.NS,LONG,1461.2,1459.2,1465.2,2.0,2.63,OPEN,NO
2026-05-04 14:36:48,20260504_200640,HDFCAMC.NS,SHORT,2734.8,2739.2,2726.0,2.0,2.62,OPEN,NO
2026-05-04 14:36:48,20260504_200640,TITAN.NS,SHORT,4368.5,4375.2,4355.1,2.0,2.61,OPEN,NO
2026-05-04 14:36:48,20260504_200640,BANKBARODA.NS,LONG,267.65,267.15,268.65,2.0,2.57,OPEN,NO
2026-05-04 14:36:48,20260504_200640,INDIGO.NS,SHORT,4287.7,4292.2,4278.7,2.0,2.55,OPEN,NO
2026-05-04 14:36:48,20260504_200640,SIEMENS.NS,LONG,3886.4,3874.3,3910.6,2.0,2.53,OPEN,NO
2026-05-04 14:36:48,20260504_200640,PIIND.NS,SHORT,3059.4,3065.2,3047.8,2.0,2.28,OPEN,NO
