Datetime,Close,High,Low,Open,Volume
2026-03-13 03:45:00+00:00,6614.0,6650.0,6592.5,6650.0,5122
2026-03-13 04:00:00+00:00,6603.5,6630.0,6603.0,6613.5,3393
2026-03-13 04:15:00+00:00,6587.5,6615.5,6575.0,6606.5,5309
2026-03-13 04:30:00+00:00,6598.0,6610.0,6585.0,6587.5,3412
2026-03-13 04:45:00+00:00,6609.0,6609.0,6589.0,6598.0,1419
2026-03-13 05:00:00+00:00,6640.0,6646.0,6604.5,6608.0,3535
2026-03-13 05:15:00+00:00,6648.5,6668.5,6624.0,6636.5,3116
2026-03-13 05:30:00+00:00,6607.5,6649.0,6601.0,6649.0,1657
2026-03-13 05:45:00+00:00,6627.0,6627.0,6595.0,6603.0,1344
2026-03-13 06:00:00+00:00,6616.0,6630.0,6611.5,6624.0,676
2026-03-13 06:15:00+00:00,6597.0,6624.5,6597.0,6612.5,1429
2026-03-13 06:30:00+00:00,6604.5,6606.0,6586.5,6596.5,1772
2026-03-13 06:45:00+00:00,6593.5,6605.5,6580.0,6600.5,1620
2026-03-13 07:00:00+00:00,6573.0,6594.0,6567.5,6593.5,1564
2026-03-13 07:15:00+00:00,6570.5,6586.0,6564.0,6576.0,1345
2026-03-13 07:30:00+00:00,6566.5,6576.5,6563.0,6565.0,976
2026-03-13 07:45:00+00:00,6555.0,6569.5,6534.5,6566.0,3285
2026-03-13 08:00:00+00:00,6556.5,6560.0,6540.5,6552.5,1927
2026-03-13 08:15:00+00:00,6512.5,6557.5,6510.0,6556.0,19087
2026-03-13 08:30:00+00:00,6557.0,6557.0,6512.5,6512.5,2945
2026-03-13 08:45:00+00:00,6555.0,6568.0,6546.0,6558.5,2231
2026-03-13 09:00:00+00:00,6567.5,6573.0,6539.5,6551.5,3905
2026-03-13 09:15:00+00:00,6547.5,6570.5,6536.0,6567.0,2411
2026-03-13 09:30:00+00:00,6527.0,6546.0,6505.5,6545.5,5474
2026-03-13 09:45:00+00:00,6520.0,6547.5,6502.0,6520.5,9578
2026-03-16 03:45:00+00:00,6471.5,6509.0,6442.5,6504.5,5515
2026-03-16 04:00:00+00:00,6498.5,6515.0,6460.0,6465.5,5126
2026-03-16 04:15:00+00:00,6500.5,6525.0,6496.5,6498.5,5308
2026-03-16 04:30:00+00:00,6475.0,6506.0,6470.0,6504.0,4784
