Datetime,Open,High,Low,Close,Volume
2026-05-19T09:15:00+05:30,160.32,161.3,158.09,158.73,2282560
2026-05-19T09:30:00+05:30,158.78,159.21,158.05,158.54,1246633
2026-05-19T09:45:00+05:30,158.55,158.74,157.85,157.85,584346
2026-05-19T10:00:00+05:30,157.89,158.15,157.35,157.6,602714
2026-05-19T10:15:00+05:30,157.6,158.0,157.4,157.55,393211
2026-05-19T10:30:00+05:30,157.55,157.74,156.9,157.35,612392
2026-05-19T10:45:00+05:30,157.32,157.68,157.28,157.37,291410
2026-05-19T11:00:00+05:30,157.38,157.41,157.05,157.15,301573
2026-05-19T11:15:00+05:30,157.13,158.01,157.08,157.75,2463107
2026-05-19T11:30:00+05:30,157.75,158.0,157.21,157.53,1216634
2026-05-19T11:45:00+05:30,157.57,157.69,157.31,157.38,203537
2026-05-19T12:00:00+05:30,157.38,157.48,157.15,157.38,251105
2026-05-19T12:15:00+05:30,157.32,157.9,157.2,157.7,433015
2026-05-19T12:30:00+05:30,157.7,157.95,157.39,157.5,710901
2026-05-19T12:45:00+05:30,157.51,157.78,157.3,157.78,429066
2026-05-19T13:00:00+05:30,157.78,157.78,157.4,157.44,213388
2026-05-19T13:15:00+05:30,157.44,157.45,157.3,157.32,153859
2026-05-19T13:30:00+05:30,157.35,157.48,157.0,157.02,337375
2026-05-19T13:45:00+05:30,157.07,157.16,156.8,156.94,295296
2026-05-19T14:00:00+05:30,156.94,157.19,156.89,157.1,225540
2026-05-19T14:15:00+05:30,157.1,157.37,156.91,157.2,338072
2026-05-19T14:30:00+05:30,157.2,157.25,156.51,156.57,350424
2026-05-19T14:45:00+05:30,156.59,156.7,156.44,156.58,276535
2026-05-19T15:00:00+05:30,156.58,156.92,156.29,156.5,807986
2026-05-19T15:15:00+05:30,156.44,156.7,155.18,155.73,1874708
