Datetime,Open,High,Low,Close,Volume
2026-05-19T09:15:00+05:30,91.83,92.65,91.72,92.62,802545
2026-05-19T09:30:00+05:30,92.62,93.37,91.91,93.15,805474
2026-05-19T09:45:00+05:30,93.16,93.24,92.65,92.65,424513
2026-05-19T10:00:00+05:30,92.65,93.64,92.65,93.41,511612
2026-05-19T10:15:00+05:30,93.41,93.55,93.24,93.4,228119
2026-05-19T10:30:00+05:30,93.38,93.45,93.06,93.4,219397
2026-05-19T10:45:00+05:30,93.39,94.0,93.39,93.97,409023
2026-05-19T11:00:00+05:30,93.97,94.16,93.74,93.9,207536
2026-05-19T11:15:00+05:30,93.9,93.99,93.75,93.78,188650
2026-05-19T11:30:00+05:30,93.8,93.98,93.71,93.94,152467
2026-05-19T11:45:00+05:30,93.93,93.99,93.86,93.98,57825
2026-05-19T12:00:00+05:30,93.99,94.08,93.87,93.97,114488
2026-05-19T12:15:00+05:30,93.97,93.98,93.75,93.95,79793
2026-05-19T12:30:00+05:30,93.94,93.95,93.78,93.78,66346
2026-05-19T12:45:00+05:30,93.81,93.81,93.52,93.61,105349
2026-05-19T13:00:00+05:30,93.61,93.67,93.41,93.48,121483
2026-05-19T13:15:00+05:30,93.41,93.63,93.31,93.63,95573
2026-05-19T13:30:00+05:30,93.61,93.7,93.34,93.46,79844
2026-05-19T13:45:00+05:30,93.46,93.55,93.24,93.35,124853
2026-05-19T14:00:00+05:30,93.43,93.82,93.36,93.61,152836
2026-05-19T14:15:00+05:30,93.61,93.74,93.57,93.69,39340
2026-05-19T14:30:00+05:30,93.69,93.74,93.03,93.15,164537
2026-05-19T14:45:00+05:30,93.1,93.18,92.9,93.16,250307
2026-05-19T15:00:00+05:30,93.16,93.3,93.06,93.25,299587
2026-05-19T15:15:00+05:30,93.24,93.25,92.9,93.0,300590
