Datetime,Open,High,Low,Close,Volume
2026-05-19T09:15:00+05:30,134.1,135.63,133.34,135.56,5412395
2026-05-19T09:30:00+05:30,135.56,135.63,134.0,134.89,1999847
2026-05-19T09:45:00+05:30,134.89,135.06,134.25,134.3,855755
2026-05-19T10:00:00+05:30,134.3,135.09,134.26,134.98,682222
2026-05-19T10:15:00+05:30,134.98,135.17,134.76,134.98,524994
2026-05-19T10:30:00+05:30,134.95,135.4,134.78,135.4,756199
2026-05-19T10:45:00+05:30,135.38,135.89,135.12,135.79,712937
2026-05-19T11:00:00+05:30,135.79,135.95,135.5,135.8,751340
2026-05-19T11:15:00+05:30,135.8,135.81,135.49,135.78,478190
2026-05-19T11:30:00+05:30,135.74,135.95,135.52,135.84,342377
2026-05-19T11:45:00+05:30,135.83,136.05,135.72,135.82,704507
2026-05-19T12:00:00+05:30,135.83,135.83,135.39,135.75,379671
2026-05-19T12:15:00+05:30,135.79,135.91,135.53,135.9,356955
2026-05-19T12:30:00+05:30,135.9,136.19,135.62,135.71,616184
2026-05-19T12:45:00+05:30,135.71,135.77,135.15,135.3,774935
2026-05-19T13:00:00+05:30,135.29,135.43,135.23,135.35,309617
2026-05-19T13:15:00+05:30,135.32,135.58,135.28,135.54,259793
2026-05-19T13:30:00+05:30,135.51,135.82,135.31,135.66,373110
2026-05-19T13:45:00+05:30,135.65,135.79,135.53,135.7,246127
2026-05-19T14:00:00+05:30,135.66,136.08,135.66,135.9,477604
2026-05-19T14:15:00+05:30,135.89,135.93,135.7,135.83,175497
2026-05-19T14:30:00+05:30,135.81,135.85,135.2,135.3,516595
2026-05-19T14:45:00+05:30,135.3,135.3,134.9,135.01,903426
2026-05-19T15:00:00+05:30,135.05,135.36,134.77,134.89,1941932
2026-05-19T15:15:00+05:30,134.89,135.03,134.81,134.92,1449334
