Datetime,Open,High,Low,Close,Volume
2026-05-19T09:15:00+05:30,386.7,389.3,386.05,388.65,358263
2026-05-19T09:30:00+05:30,388.8,390.65,387.6,390.2,304154
2026-05-19T09:45:00+05:30,390.2,391.2,389.6,389.65,385742
2026-05-19T10:00:00+05:30,389.8,391.85,389.6,391.25,199213
2026-05-19T10:15:00+05:30,391.35,391.45,390.1,390.8,104428
2026-05-19T10:30:00+05:30,390.9,391.55,390.55,391.3,140759
2026-05-19T10:45:00+05:30,391.3,392.3,391.2,391.9,138385
2026-05-19T11:00:00+05:30,391.9,392.05,389.1,389.35,828449
2026-05-19T11:15:00+05:30,389.55,390.6,389.05,390.6,378170
2026-05-19T11:30:00+05:30,390.6,391.5,390.45,391.45,106507
2026-05-19T11:45:00+05:30,391.5,391.9,391.1,391.4,122462
2026-05-19T12:00:00+05:30,391.45,391.9,391.2,391.8,111093
2026-05-19T12:15:00+05:30,391.8,391.9,391.55,391.85,64315
2026-05-19T12:30:00+05:30,391.85,392.75,391.65,392.2,259198
2026-05-19T12:45:00+05:30,392.2,392.45,390.85,391.05,303100
2026-05-19T13:00:00+05:30,391.1,391.35,389.45,389.55,209838
2026-05-19T13:15:00+05:30,389.65,390.05,389.2,389.95,186904
2026-05-19T13:30:00+05:30,389.95,390.15,389.5,390.0,216324
2026-05-19T13:45:00+05:30,390.1,390.15,389.6,389.6,131469
2026-05-19T14:00:00+05:30,389.65,390.15,389.55,389.85,149080
2026-05-19T14:15:00+05:30,389.95,390.1,389.85,390.0,91813
2026-05-19T14:30:00+05:30,390.0,390.15,389.45,389.65,224088
2026-05-19T14:45:00+05:30,389.65,390.4,389.4,389.75,350618
2026-05-19T15:00:00+05:30,389.75,390.1,389.25,389.5,592297
2026-05-19T15:15:00+05:30,389.5,389.8,388.8,389.0,628168
