Datetime,Open,High,Low,Close,Volume
2026-05-19T09:15:00+05:30,296.6,298.25,294.55,296.8,1206724
2026-05-19T09:30:00+05:30,296.85,297.5,295.0,297.35,1116864
2026-05-19T09:45:00+05:30,297.45,297.5,295.55,295.55,396479
2026-05-19T10:00:00+05:30,295.6,296.8,295.25,296.7,393892
2026-05-19T10:15:00+05:30,296.7,297.6,296.6,297.55,316238
2026-05-19T10:30:00+05:30,297.55,298.0,296.95,297.6,367136
2026-05-19T10:45:00+05:30,297.6,298.45,297.3,298.2,383708
2026-05-19T11:00:00+05:30,298.3,298.4,297.5,298.05,747042
2026-05-19T11:15:00+05:30,298.05,298.7,297.45,298.25,386664
2026-05-19T11:30:00+05:30,298.3,299.0,298.0,298.95,294949
2026-05-19T11:45:00+05:30,298.95,299.2,298.4,298.5,271082
2026-05-19T12:00:00+05:30,298.55,299.0,298.2,298.55,283215
2026-05-19T12:15:00+05:30,298.6,298.6,298.05,298.3,211703
2026-05-19T12:30:00+05:30,298.35,299.0,298.2,298.45,412799
2026-05-19T12:45:00+05:30,298.45,298.55,297.6,298.35,310542
2026-05-19T13:00:00+05:30,298.4,298.7,297.7,298.4,332764
2026-05-19T13:15:00+05:30,298.4,298.8,298.3,298.8,299435
2026-05-19T13:30:00+05:30,298.8,298.95,298.5,298.65,351134
2026-05-19T13:45:00+05:30,298.65,299.0,298.5,298.6,297048
2026-05-19T14:00:00+05:30,298.65,299.4,298.55,299.4,404575
2026-05-19T14:15:00+05:30,299.4,299.5,299.0,299.5,256461
2026-05-19T14:30:00+05:30,299.5,300.0,298.85,299.1,431130
2026-05-19T14:45:00+05:30,299.15,299.4,298.8,299.2,390775
2026-05-19T15:00:00+05:30,299.2,299.4,298.8,299.2,1030024
2026-05-19T15:15:00+05:30,299.15,299.2,297.95,298.0,1394863
