Datetime,Close,High,Low,Open,Volume
2026-03-10 03:45:00+00:00,8233.0,8283.0,8195.0,8283.0,17606
2026-03-10 04:00:00+00:00,8213.0,8233.0,8200.5,8233.0,11864
2026-03-10 04:15:00+00:00,8165.5,8213.0,8161.5,8210.0,16359
2026-03-10 04:30:00+00:00,8160.0,8167.0,8126.5,8165.5,15908
2026-03-10 04:45:00+00:00,8145.5,8178.0,8143.5,8158.5,9076
2026-03-10 05:00:00+00:00,8152.5,8152.5,8120.5,8145.5,12195
2026-03-10 05:15:00+00:00,8164.5,8179.5,8150.0,8151.0,11974
2026-03-10 05:30:00+00:00,8166.5,8195.0,8154.5,8164.5,7841
2026-03-10 05:45:00+00:00,8150.0,8171.5,8146.0,8166.0,8296
2026-03-10 06:00:00+00:00,8100.0,8155.0,8090.0,8145.5,22954
2026-03-10 06:15:00+00:00,7943.0,8096.5,7936.0,8096.5,85255
2026-03-10 06:30:00+00:00,7956.5,8012.5,7917.0,7940.0,71616
2026-03-10 06:45:00+00:00,7967.0,7980.5,7932.5,7953.0,35307
2026-03-10 07:00:00+00:00,7975.5,7999.5,7935.0,7967.5,24981
2026-03-10 07:15:00+00:00,7877.5,7975.0,7851.0,7971.0,51691
2026-03-10 07:30:00+00:00,7750.0,7896.5,7749.0,7879.0,73599
2026-03-10 07:45:00+00:00,7761.5,7789.0,7746.0,7757.0,49438
2026-03-10 08:00:00+00:00,7790.5,7794.5,7755.0,7762.5,41987
2026-03-10 08:15:00+00:00,7755.0,7831.5,7752.0,7791.0,51722
2026-03-10 08:30:00+00:00,7773.0,7787.5,7730.0,7758.0,44490
2026-03-10 08:45:00+00:00,7765.5,7810.0,7761.0,7774.0,56099
2026-03-10 09:00:00+00:00,7688.0,7765.5,7688.0,7765.5,77207
2026-03-10 09:15:00+00:00,7752.0,7754.5,7686.0,7688.0,55638
2026-03-10 09:30:00+00:00,7719.0,7752.0,7704.5,7752.0,72987
2026-03-10 09:45:00+00:00,7723.0,7740.0,7706.5,7721.0,108306
2026-03-11 03:45:00+00:00,7622.0,7707.0,7553.5,7662.5,71224
2026-03-11 04:00:00+00:00,7621.5,7661.0,7600.0,7619.0,80995
2026-03-11 04:15:00+00:00,7599.5,7644.0,7591.5,7621.5,51761
2026-03-11 04:30:00+00:00,7585.5,7607.0,7570.5,7595.0,30730
2026-03-11 04:45:00+00:00,7566.0,7592.5,7550.0,7586.5,29712
2026-03-11 05:00:00+00:00,7557.0,7575.0,7555.0,7565.0,14103
2026-03-11 05:15:00+00:00,7603.0,7613.0,7533.0,7555.0,55852
2026-03-11 05:30:00+00:00,7507.5,7607.5,7505.0,7603.0,36451
2026-03-11 05:45:00+00:00,7493.5,7524.5,7493.5,7507.5,25160
2026-03-11 06:00:00+00:00,7479.0,7497.5,7476.0,7493.5,26832
2026-03-11 06:15:00+00:00,7457.5,7493.0,7453.5,7479.5,22380
2026-03-11 06:30:00+00:00,7448.0,7480.0,7441.0,7455.5,22991
2026-03-11 06:45:00+00:00,7450.0,7463.0,7445.0,7449.0,17668
2026-03-11 07:00:00+00:00,7458.5,7473.5,7443.5,7450.0,18453
2026-03-11 07:15:00+00:00,7411.0,7453.0,7411.0,7453.0,29921
2026-03-11 07:30:00+00:00,7398.5,7421.0,7388.0,7414.0,34776
2026-03-11 07:45:00+00:00,7472.0,7476.0,7385.0,7398.5,76794
2026-03-11 08:00:00+00:00,7469.0,7499.0,7465.0,7472.0,34873
2026-03-11 08:15:00+00:00,7424.0,7472.0,7421.5,7468.0,56657
2026-03-11 08:30:00+00:00,7422.5,7429.5,7401.0,7426.5,62909
2026-03-11 08:45:00+00:00,7452.0,7455.0,7399.0,7420.5,22609
2026-03-11 09:00:00+00:00,7430.5,7464.0,7423.0,7455.0,36271
2026-03-11 09:15:00+00:00,7443.0,7450.5,7421.0,7432.0,32594
2026-03-11 09:30:00+00:00,7413.0,7474.0,7410.0,7454.0,45644
2026-03-11 09:45:00+00:00,7430.0,7430.0,7407.5,7413.0,73364
2026-03-12 03:45:00+00:00,7350.0,7400.0,7284.5,7349.0,20954
2026-03-12 04:00:00+00:00,7327.5,7348.0,7311.0,7341.0,19704
2026-03-12 04:15:00+00:00,7404.0,7427.0,7320.0,7330.0,28915
2026-03-12 04:30:00+00:00,7366.0,7405.5,7365.0,7404.5,17102
2026-03-12 04:45:00+00:00,7385.0,7388.0,7351.0,7365.0,12796
2026-03-12 05:00:00+00:00,7378.0,7395.5,7359.0,7385.0,14155
2026-03-12 05:15:00+00:00,7384.5,7387.5,7354.0,7381.0,8876
2026-03-12 05:30:00+00:00,7402.0,7408.5,7382.5,7384.0,11361
2026-03-12 05:45:00+00:00,7441.0,7448.0,7403.5,7403.5,20918
2026-03-12 06:00:00+00:00,7452.0,7479.0,7431.5,7440.0,19309
2026-03-12 06:15:00+00:00,7521.5,7532.5,7453.0,7453.0,31214
2026-03-12 06:30:00+00:00,7526.0,7536.0,7476.0,7521.5,28791
2026-03-12 06:45:00+00:00,7494.0,7526.5,7483.5,7523.0,12671
2026-03-12 07:00:00+00:00,7478.5,7500.0,7472.5,7493.5,12812
2026-03-12 07:15:00+00:00,7485.0,7495.0,7477.0,7477.0,7199
2026-03-12 07:30:00+00:00,7497.5,7497.5,7464.5,7486.0,12452
2026-03-12 07:45:00+00:00,7503.0,7504.5,7481.0,7494.5,5254
2026-03-12 08:00:00+00:00,7490.5,7511.5,7485.0,7500.5,8697
2026-03-12 08:15:00+00:00,7483.0,7492.5,7473.0,7489.0,9995
2026-03-12 08:30:00+00:00,7472.5,7492.5,7465.0,7482.0,20674
2026-03-12 08:45:00+00:00,7463.5,7488.5,7460.0,7475.0,10623
2026-03-12 09:00:00+00:00,7457.0,7475.0,7457.0,7463.0,17536
2026-03-12 09:15:00+00:00,7469.5,7470.0,7444.0,7457.0,22460
2026-03-12 09:30:00+00:00,7447.5,7476.5,7445.0,7469.5,49600
2026-03-12 09:45:00+00:00,7455.0,7455.0,7413.5,7447.0,39499
2026-03-13 03:45:00+00:00,7265.0,7410.0,7223.5,7410.0,39353
2026-03-13 04:00:00+00:00,7245.0,7280.5,7240.0,7262.0,30460
2026-03-13 04:15:00+00:00,7193.0,7246.0,7193.0,7245.0,44364
2026-03-13 04:30:00+00:00,7164.5,7201.0,7160.5,7193.0,31786
2026-03-13 04:45:00+00:00,7170.0,7173.0,7131.5,7168.0,23679
2026-03-13 05:00:00+00:00,7143.0,7178.5,7132.0,7170.0,17229
2026-03-13 05:15:00+00:00,7140.0,7168.0,7134.0,7141.0,13840
2026-03-13 05:30:00+00:00,7163.0,7169.0,7121.5,7139.5,20588
2026-03-13 05:45:00+00:00,7213.0,7226.0,7152.5,7163.0,30528
2026-03-13 06:00:00+00:00,7205.0,7222.5,7188.5,7214.5,16789
2026-03-13 06:15:00+00:00,7209.5,7224.5,7191.0,7206.0,16282
2026-03-13 06:30:00+00:00,7222.0,7231.5,7203.0,7210.0,22358
2026-03-13 06:45:00+00:00,7218.0,7230.0,7200.0,7222.0,18429
2026-03-13 07:00:00+00:00,7198.5,7223.5,7190.0,7218.5,18713
2026-03-13 07:15:00+00:00,7197.0,7212.0,7193.0,7197.0,11577
2026-03-13 07:30:00+00:00,7212.5,7225.0,7192.0,7197.0,25390
2026-03-13 07:45:00+00:00,7219.0,7219.0,7188.0,7213.0,10738
2026-03-13 08:00:00+00:00,7205.0,7224.0,7195.5,7219.0,9443
2026-03-13 08:15:00+00:00,7170.0,7205.0,7170.0,7202.5,11793
2026-03-13 08:30:00+00:00,7205.0,7205.0,7167.0,7168.0,15047
2026-03-13 08:45:00+00:00,7208.0,7217.5,7198.0,7203.5,12394
2026-03-13 09:00:00+00:00,7218.0,7240.0,7208.0,7209.0,18821
2026-03-13 09:15:00+00:00,7182.0,7219.5,7169.5,7219.0,21491
2026-03-13 09:30:00+00:00,7204.0,7210.0,7167.5,7182.5,48604
2026-03-13 09:45:00+00:00,7205.0,7214.0,7190.5,7200.5,69678
2026-03-16 03:45:00+00:00,7149.0,7215.0,7087.0,7196.0,24073
2026-03-16 04:00:00+00:00,7185.5,7201.5,7135.0,7145.0,18338
