Datetime,Open,High,Low,Close,Volume
2026-05-19T09:15:00+05:30,532.25,535.75,530.85,534.8,72176
2026-05-19T09:30:00+05:30,534.7,535.4,530.1,533.45,83139
2026-05-19T09:45:00+05:30,533.85,534.2,531.25,531.7,27028
2026-05-19T10:00:00+05:30,531.7,534.8,531.3,534.35,31256
2026-05-19T10:15:00+05:30,534.5,535.5,533.7,535.2,21388
2026-05-19T10:30:00+05:30,535.2,536.45,534.6,536.3,26803
2026-05-19T10:45:00+05:30,536.45,537.6,536.0,537.2,27535
2026-05-19T11:00:00+05:30,537.0,537.3,536.25,536.6,14049
2026-05-19T11:15:00+05:30,536.8,537.0,535.8,536.3,12589
2026-05-19T11:30:00+05:30,536.3,536.9,535.6,536.45,11865
2026-05-19T11:45:00+05:30,536.35,536.5,535.55,536.05,13470
2026-05-19T12:00:00+05:30,536.05,536.05,535.0,535.85,16960
2026-05-19T12:15:00+05:30,535.8,535.85,535.15,535.3,8539
2026-05-19T12:30:00+05:30,535.5,536.65,535.1,535.85,12407
2026-05-19T12:45:00+05:30,535.85,536.0,535.1,535.7,8262
2026-05-19T13:00:00+05:30,535.75,535.9,535.2,535.55,4918
2026-05-19T13:15:00+05:30,535.55,536.1,535.3,535.7,14560
2026-05-19T13:30:00+05:30,535.7,536.0,535.05,535.4,8348
2026-05-19T13:45:00+05:30,535.4,535.7,535.2,535.25,4858
2026-05-19T14:00:00+05:30,535.3,536.4,535.15,536.0,9102
2026-05-19T14:15:00+05:30,536.0,536.45,534.45,534.5,33356
2026-05-19T14:30:00+05:30,534.45,534.65,524.7,528.55,495858
2026-05-19T14:45:00+05:30,528.6,530.8,528.3,530.8,36088
2026-05-19T15:00:00+05:30,530.7,531.25,529.5,530.3,69296
2026-05-19T15:15:00+05:30,530.35,530.45,529.0,529.45,52406
