Datetime,Open,High,Low,Close,Volume
2026-05-19T09:15:00+05:30,625.0,629.25,623.95,629.15,39269
2026-05-19T09:30:00+05:30,629.0,630.6,626.05,629.95,32016
2026-05-19T09:45:00+05:30,629.95,630.25,627.0,627.05,19182
2026-05-19T10:00:00+05:30,627.4,629.4,627.1,629.0,6413
2026-05-19T10:15:00+05:30,629.2,630.35,628.7,629.95,14268
2026-05-19T10:30:00+05:30,629.8,630.7,629.1,629.1,15170
2026-05-19T10:45:00+05:30,629.5,630.5,629.05,629.9,10624
2026-05-19T11:00:00+05:30,629.5,629.9,628.5,629.05,9920
2026-05-19T11:15:00+05:30,628.8,629.05,627.0,627.35,15770
2026-05-19T11:30:00+05:30,627.2,628.4,626.7,627.8,6661
2026-05-19T11:45:00+05:30,628.05,629.5,627.9,628.1,11891
2026-05-19T12:00:00+05:30,628.35,628.7,627.3,627.6,8933
2026-05-19T12:15:00+05:30,627.6,627.9,625.5,626.15,20174
2026-05-19T12:30:00+05:30,626.15,627.0,625.45,626.35,19774
2026-05-19T12:45:00+05:30,626.95,627.25,625.4,625.7,7837
2026-05-19T13:00:00+05:30,625.75,626.4,624.6,625.05,17143
2026-05-19T13:15:00+05:30,625.2,625.9,625.05,625.4,6583
2026-05-19T13:30:00+05:30,625.7,626.0,624.65,625.25,10103
2026-05-19T13:45:00+05:30,625.7,626.15,624.7,625.1,8760
2026-05-19T14:00:00+05:30,625.4,625.85,623.95,625.15,21632
2026-05-19T14:15:00+05:30,625.15,627.4,625.1,626.0,16165
2026-05-19T14:30:00+05:30,626.2,626.6,624.5,624.5,14373
2026-05-19T14:45:00+05:30,624.5,624.85,623.9,624.65,15089
2026-05-19T15:00:00+05:30,624.65,625.65,623.5,624.0,56230
2026-05-19T15:15:00+05:30,624.0,624.7,622.4,623.2,82777
