checked_at,trade_id,timestamp,scan_id,symbol,side,entry,sl,target,rr,score,rank_score,alert_sent,current_price,outcome,pnl_points,result_reason
2026-05-04 21:14:47,2026-05-04 21:11:46|20260504_211102|BAJAJ-AUTO.NS|LONG|10144.5|10120.0,20260504_211102|BAJAJ-AUTO.NS|LONG|10144.5|10120.0|10193.5,2026-05-04 21:11:46,20260504_211102,BAJAJ-AUTO.NS,LONG,10144.5,10120.0,10193.5,2.0,2.02,"BAJAJ-AUTO.NS passed TITAN setup scan | Side: LONG | Trend: UP | Final Score: 2.02 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",,OPEN,0.0,Live price unavailable
2026-05-04 21:14:48,2026-05-04 21:11:46|20260504_211102|BAJAJHLDNG.NS|LONG|10443.0|10412.0,20260504_211102|BAJAJHLDNG.NS|LONG|10443.0|10412.0|10505.0,2026-05-04 21:11:46,20260504_211102,BAJAJHLDNG.NS,LONG,10443.0,10412.0,10505.0,2.0,1.89,"BAJAJHLDNG.NS passed TITAN setup scan | Side: LONG | Trend: UP | Final Score: 1.89 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",,OPEN,0.0,Live price unavailable
2026-05-04 21:14:48,2026-05-04 21:14:42|20260504_211359|RELIANCE.NS|LONG|1463.1|1446.7,20260504_211359|RELIANCE.NS|LONG|1463.1|1446.7|1495.9,2026-05-04 21:14:42,20260504_211359,RELIANCE.NS,LONG,1463.1,1446.7,1495.9,2.0,3.29,"RELIANCE.NS passed TITAN setup scan | Side: LONG | Trend: UP | Final Score: 3.29 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",,OPEN,0.0,Live price unavailable
2026-05-04 21:14:48,2026-05-04 21:14:42|20260504_211359|ONGC.NS|SHORT|292.9|294.5,20260504_211359|ONGC.NS|SHORT|292.9|294.5|289.7,2026-05-04 21:14:42,20260504_211359,ONGC.NS,SHORT,292.9,294.5,289.7,2.0,3.23,"ONGC.NS passed TITAN setup scan | Side: SHORT | Trend: DOWN | Final Score: 3.23 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",,OPEN,0.0,Live price unavailable
2026-05-04 21:14:49,2026-05-04 21:14:42|20260504_211359|PFC.NS|SHORT|448.25|453.15,20260504_211359|PFC.NS|SHORT|448.25|453.15|438.45,2026-05-04 21:14:42,20260504_211359,PFC.NS,SHORT,448.25,453.15,438.45,2.0,3.17,"PFC.NS passed TITAN setup scan | Side: SHORT | Trend: DOWN | Final Score: 3.17 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",,OPEN,0.0,Live price unavailable
2026-05-04 21:14:49,2026-05-04 21:14:42|20260504_211359|MARICO.NS|LONG|783.5|782.7,20260504_211359|MARICO.NS|LONG|783.5|782.7|785.1,2026-05-04 21:14:42,20260504_211359,MARICO.NS,LONG,783.5,782.7,785.1,2.0,3.12,"MARICO.NS passed TITAN setup scan | Side: LONG | Trend: UP | Final Score: 3.12 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",,OPEN,0.0,Live price unavailable
2026-05-04 21:14:50,2026-05-04 21:14:42|20260504_211359|APOLLOHOSP.NS|LONG|7753.5|7749.5,20260504_211359|APOLLOHOSP.NS|LONG|7753.5|7749.5|7761.5,2026-05-04 21:14:42,20260504_211359,APOLLOHOSP.NS,LONG,7753.5,7749.5,7761.5,2.0,3.1,"APOLLOHOSP.NS passed TITAN setup scan | Side: LONG | Trend: UP | Final Score: 3.1 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",,OPEN,0.0,Live price unavailable
2026-05-04 21:14:50,2026-05-04 21:14:42|20260504_211359|HAVELLS.NS|LONG|1260.0|1255.0,20260504_211359|HAVELLS.NS|LONG|1260.0|1255.0|1270.0,2026-05-04 21:14:42,20260504_211359,HAVELLS.NS,LONG,1260.0,1255.0,1270.0,2.0,3.1,"HAVELLS.NS passed TITAN setup scan | Side: LONG | Trend: UP | Final Score: 3.1 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",,OPEN,0.0,Live price unavailable
2026-05-04 21:14:50,2026-05-04 21:14:42|20260504_211359|DABUR.NS|SHORT|448.05|448.2,20260504_211359|DABUR.NS|SHORT|448.05|448.2|447.75,2026-05-04 21:14:42,20260504_211359,DABUR.NS,SHORT,448.05,448.2,447.75,2.0,3.08,"DABUR.NS passed TITAN setup scan | Side: SHORT | Trend: DOWN | Final Score: 3.08 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",,OPEN,0.0,Live price unavailable
2026-05-04 21:14:51,2026-05-04 21:14:42|20260504_211359|BAJFINANCE.NS|LONG|957.6|956.6,20260504_211359|BAJFINANCE.NS|LONG|957.6|956.6|959.6,2026-05-04 21:14:42,20260504_211359,BAJFINANCE.NS,LONG,957.6,956.6,959.6,2.0,3.04,"BAJFINANCE.NS passed TITAN setup scan | Side: LONG | Trend: UP | Final Score: 3.04 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",,OPEN,0.0,Live price unavailable
2026-05-04 21:14:51,2026-05-04 21:14:42|20260504_211359|HAL.NS|LONG|4576.5|4564.8,20260504_211359|HAL.NS|LONG|4576.5|4564.8|4599.9,2026-05-04 21:14:42,20260504_211359,HAL.NS,LONG,4576.5,4564.8,4599.9,2.0,3.04,"HAL.NS passed TITAN setup scan | Side: LONG | Trend: UP | Final Score: 3.04 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",,OPEN,0.0,Live price unavailable
2026-05-04 21:14:52,2026-05-04 21:14:42|20260504_211359|RECLTD.NS|SHORT|357.5|357.8,20260504_211359|RECLTD.NS|SHORT|357.5|357.8|356.9,2026-05-04 21:14:42,20260504_211359,RECLTD.NS,SHORT,357.5,357.8,356.9,2.0,3.04,"RECLTD.NS passed TITAN setup scan | Side: SHORT | Trend: DOWN | Final Score: 3.04 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",,OPEN,0.0,Live price unavailable
2026-05-04 21:14:52,2026-05-04 21:14:42|20260504_211359|JINDALSTEL.NS|LONG|1264.4|1261.0,20260504_211359|JINDALSTEL.NS|LONG|1264.4|1261.0|1271.2,2026-05-04 21:14:42,20260504_211359,JINDALSTEL.NS,LONG,1264.4,1261.0,1271.2,2.0,3.0,"JINDALSTEL.NS passed TITAN setup scan | Side: LONG | Trend: UP | Final Score: 3.0 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",,OPEN,0.0,Live price unavailable
2026-05-04 21:14:52,2026-05-04 21:14:42|20260504_211359|SHRIRAMFIN.NS|LONG|958.35|956.0,20260504_211359|SHRIRAMFIN.NS|LONG|958.35|956.0|963.05,2026-05-04 21:14:42,20260504_211359,SHRIRAMFIN.NS,LONG,958.35,956.0,963.05,2.0,2.98,"SHRIRAMFIN.NS passed TITAN setup scan | Side: LONG | Trend: UP | Final Score: 2.98 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",,OPEN,0.0,Live price unavailable
2026-05-04 21:14:52,2026-05-04 21:14:42|20260504_211359|ULTRACEMCO.NS|SHORT|11677.0|11705.0,20260504_211359|ULTRACEMCO.NS|SHORT|11677.0|11705.0|11621.0,2026-05-04 21:14:42,20260504_211359,ULTRACEMCO.NS,SHORT,11677.0,11705.0,11621.0,2.0,2.95,"ULTRACEMCO.NS passed TITAN setup scan | Side: SHORT | Trend: DOWN | Final Score: 2.95 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",,OPEN,0.0,Live price unavailable
2026-05-04 21:14:53,2026-05-04 21:14:42|20260504_211359|CHOLAFIN.NS|LONG|1637.1|1633.8,20260504_211359|CHOLAFIN.NS|LONG|1637.1|1633.8|1643.7,2026-05-04 21:14:42,20260504_211359,CHOLAFIN.NS,LONG,1637.1,1633.8,1643.7,2.0,2.94,"CHOLAFIN.NS passed TITAN setup scan | Side: LONG | Trend: UP | Final Score: 2.94 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",,OPEN,0.0,Live price unavailable
2026-05-04 21:14:53,2026-05-04 21:14:42|20260504_211359|JSWSTEEL.NS|LONG|1269.6|1268.4,20260504_211359|JSWSTEEL.NS|LONG|1269.6|1268.4|1272.0,2026-05-04 21:14:42,20260504_211359,JSWSTEEL.NS,LONG,1269.6,1268.4,1272.0,2.0,2.93,"JSWSTEEL.NS passed TITAN setup scan | Side: LONG | Trend: UP | Final Score: 2.93 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",,OPEN,0.0,Live price unavailable
2026-05-04 21:14:53,2026-05-04 21:14:42|20260504_211359|GODREJCP.NS|SHORT|1079.1|1080.4,20260504_211359|GODREJCP.NS|SHORT|1079.1|1080.4|1076.5,2026-05-04 21:14:42,20260504_211359,GODREJCP.NS,SHORT,1079.1,1080.4,1076.5,2.0,2.89,"GODREJCP.NS passed TITAN setup scan | Side: SHORT | Trend: DOWN | Final Score: 2.89 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",,OPEN,0.0,Live price unavailable
