timestamp,scan_id,symbol,side,entry,sl,target,rr,score,rank_score,confirmations,reason,alert_sent,market_status
2026-05-04 16:42:47,20260504_164140,SHRIRAMFIN.NS,LONG,958.35,956.0,963.05,2.0,2.98,23.87,Trend: UP | Momentum: OK | Structure: OK | Relative Strength: OK | Breakout: OK | Volume Score: 0.27 | Strength Score: -0.28 | Compression Score: 8.96 | Trigger: WAITING,"SHRIRAMFIN.NS passed TITAN setup scan | Side: LONG | Trend: UP | Final Score: 2.98 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",False,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}"
2026-05-04 16:42:47,20260504_164140,CHOLAFIN.NS,LONG,1637.1,1633.8,1643.7,2.0,2.94,23.86,Trend: UP | Momentum: OK | Structure: OK | Relative Strength: OK | Breakout: OK | Volume Score: 0.19 | Strength Score: 0.15 | Compression Score: 8.48 | Trigger: WAITING,"CHOLAFIN.NS passed TITAN setup scan | Side: LONG | Trend: UP | Final Score: 2.94 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",False,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}"
2026-05-04 16:42:47,20260504_164140,ULTRACEMCO.NS,SHORT,11677.0,11705.0,11621.0,2.0,2.95,23.84,Trend: DOWN | Momentum: OK | Structure: OK | Relative Strength: OK | Breakout: OK | Volume Score: 0.09 | Strength Score: -0.08 | Compression Score: 8.83 | Trigger: WAITING,"ULTRACEMCO.NS passed TITAN setup scan | Side: SHORT | Trend: DOWN | Final Score: 2.95 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",False,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}"
2026-05-04 16:42:47,20260504_164140,ACC.NS,SHORT,1419.6,1424.7,1409.4,2.0,2.88,23.81,Trend: DOWN | Momentum: OK | Structure: OK | Relative Strength: OK | Breakout: OK | Volume Score: 0.27 | Strength Score: 0.4 | Compression Score: 7.96 | Trigger: WAITING,"ACC.NS passed TITAN setup scan | Side: SHORT | Trend: DOWN | Final Score: 2.88 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",False,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}"
2026-05-04 16:42:47,20260504_164140,JSWSTEEL.NS,LONG,1269.6,1268.4,1272.0,2.0,2.93,23.79,Trend: UP | Momentum: OK | Structure: OK | Relative Strength: OK | Breakout: OK | Volume Score: 0.14 | Strength Score: -0.36 | Compression Score: 9.01 | Trigger: WAITING,"JSWSTEEL.NS passed TITAN setup scan | Side: LONG | Trend: UP | Final Score: 2.93 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",False,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}"
2026-05-04 16:42:47,20260504_164140,GODREJCP.NS,SHORT,1079.1,1080.4,1076.5,2.0,2.89,23.73,Trend: DOWN | Momentum: OK | Structure: OK | Relative Strength: OK | Breakout: OK | Volume Score: 0.03 | Strength Score: -0.27 | Compression Score: 8.91 | Trigger: WAITING,"GODREJCP.NS passed TITAN setup scan | Side: SHORT | Trend: DOWN | Final Score: 2.89 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",False,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}"
2026-05-04 16:42:47,20260504_164140,BRITANNIA.NS,LONG,5750.0,5735.0,5780.0,2.0,2.8,23.63,Trend: UP | Momentum: OK | Structure: OK | Relative Strength: OK | Breakout: OK | Volume Score: 0.15 | Strength Score: -0.26 | Compression Score: 8.5 | Trigger: WAITING,"BRITANNIA.NS passed TITAN setup scan | Side: LONG | Trend: UP | Final Score: 2.8 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",False,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}"
2026-05-04 16:42:47,20260504_164140,INFY.NS,SHORT,1168.4,1174.8,1155.6,2.0,2.82,23.63,Trend: DOWN | Momentum: OK | Structure: OK | Relative Strength: OK | Breakout: OK | Volume Score: 0.1 | Strength Score: -0.45 | Compression Score: 8.82 | Trigger: WAITING,"INFY.NS passed TITAN setup scan | Side: SHORT | Trend: DOWN | Final Score: 2.82 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",False,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}"
2026-05-04 16:42:47,20260504_164140,TATASTEEL.NS,SHORT,212.24,212.62,211.48,2.0,2.78,23.55,Trend: DOWN | Momentum: OK | Structure: OK | Relative Strength: OK | Breakout: OK | Volume Score: 0.13 | Strength Score: -0.75 | Compression Score: 8.95 | Trigger: WAITING,"TATASTEEL.NS passed TITAN setup scan | Side: SHORT | Trend: DOWN | Final Score: 2.78 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",False,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}"
2026-05-04 16:42:47,20260504_164140,HDFCLIFE.NS,SHORT,589.0,589.7,587.6,2.0,2.77,23.54,Trend: DOWN | Momentum: OK | Structure: OK | Relative Strength: OK | Breakout: OK | Volume Score: 0.07 | Strength Score: -0.7 | Compression Score: 8.93 | Trigger: WAITING,"HDFCLIFE.NS passed TITAN setup scan | Side: SHORT | Trend: DOWN | Final Score: 2.77 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",False,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}"
